FAMILY	Agossypii	Dhansenii	Ncrassa	Nfumigata	Pcarinii	Pjirovecii	Rdelemar	Sjaponicus	Spombe	Tdeformans	Umaydis	Scerevisiae	Ylipolytica	Scryophilus	Soctosporus
ORTHOMCL101	0	4	3	2	0	0	9	1	0	3	2	2	1	0	0
ORTHOMCL102	0	0	2	3	0	0	0	5	5	2	0	0	0	5	5
ORTHOMCL103	2	2	1	1	0	1	4	2	3	1	1	2	1	3	3
ORTHOMCL104	2	2	1	1	2	1	4	2	2	1	2	2	1	2	2
ORTHOMCL105	1	1	1	1	1	1	7	2	2	1	2	2	1	2	2
ORTHOMCL106	1	1	1	3	2	1	4	3	2	1	1	2	1	2	2
ORTHOMCL107	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
ORTHOMCL108	0	0	1	0	0	0	9	2	0	0	1	0	13	0	0
ORTHOMCL109	2	1	1	1	0	0	10	1	1	0	2	3	2	1	1
ORTHOMCL110	2	1	2	2	0	0	0	3	1	1	1	3	7	2	1
ORTHOMCL111	1	4	1	1	0	0	4	1	1	1	2	2	6	1	1
ORTHOMCL112	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2
ORTHOMCL113	2	2	2	3	0	2	4	1	1	2	2	1	2	1	1
ORTHOMCL114	1	1	1	1	1	1	9	2	2	1	1	0	1	2	2
ORTHOMCL115	2	3	1	1	1	1	4	2	2	1	0	3	1	2	2
ORTHOMCL116	2	2	2	2	2	1	4	1	1	1	2	2	2	1	1
ORTHOMCL117	1	1	2	2	1	0	5	2	2	1	2	2	1	2	2
ORTHOMCL118	2	2	1	1	1	2	2	2	2	1	1	2	3	2	2
ORTHOMCL119	1	1	1	1	1	2	9	2	1	2	1	1	1	1	1
ORTHOMCL120	1	1	1	1	1	1	5	2	2	2	1	2	2	2	2
ORTHOMCL121	2	1	1	0	1	0	1	1	1	1	16	0	1	0	0
ORTHOMCL122	2	2	2	2	1	2	3	1	1	2	2	2	2	1	1
ORTHOMCL123	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
ORTHOMCL124	1	1	1	5	0	0	14	0	0	1	0	1	1	0	0
ORTHOMCL125	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ORTHOMCL126	0	2	3	2	0	0	3	1	2	3	2	3	2	1	1
ORTHOMCL127	2	3	1	1	0	0	8	1	1	1	2	1	2	1	1
ORTHOMCL128	0	0	1	1	0	0	19	1	1	0	0	0	0	1	1
ORTHOMCL129	2	3	1	1	0	0	5	3	2	1	1	3	1	1	1
ORTHOMCL130	2	5	2	1	0	0	5	1	1	2	1	1	2	1	1
ORTHOMCL131	1	3	2	2	0	1	2	1	1	1	1	1	7	1	1
ORTHOMCL132	1	1	1	1	2	1	8	1	1	1	1	1	1	2	2
ORTHOMCL133	1	1	1	3	2	1	3	1	1	1	3	1	4	1	1
ORTHOMCL134	1	1	1	1	1	1	8	1	1	1	1	2	1	1	3
ORTHOMCL135	1	1	2	2	1	2	2	2	2	2	2	1	1	2	2
ORTHOMCL136	2	2	2	2	1	2	2	1	1	2	2	2	2	1	1
ORTHOMCL137	3	3	1	1	1	0	6	1	1	1	1	2	2	1	1
ORTHOMCL138	2	1	1	4	2	1	6	1	1	1	1	1	1	1	1
ORTHOMCL139	2	2	1	1	1	2	2	2	2	1	1	2	2	2	2
ORTHOMCL140	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
ORTHOMCL141	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ORTHOMCL142	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL143	3	2	2	0	0	0	0	0	0	1	0	0	16	0	0
ORTHOMCL144	1	1	2	4	0	0	3	2	2	1	1	1	2	2	2
ORTHOMCL145	1	1	2	1	0	1	4	2	2	1	1	3	1	2	2
